,egg_id,nest,nest_id,year,mean_red_spot,mean_red_shell,mean_blue_spot,mean_blue_shell,mean_green_spot,mean_green_shell,spotiness,H_shell,S_shell,V_shell,H_spot,S_spot,V_spot
1,201_1,201,201_2019,2019,70.975,154.2,58.44,125.008,68.715,159.608,0.211635135,0.192738461,0.216814617,0.867038961,0.136565049,0.176584217,0.705937935
2,201_2,201,201_2019,2019,72.76,145.51,57.915,111.334,69.42,148.947,0.296660186,0.181943967,0.252575058,0.809125182,0.129151106,0.204052413,0.723692063
3,201_3,201,201_2019,2019,66.325,155.683,51.97,131.734,62.265,161.149,0.196636738,0.19764525,0.182573985,0.875410139,0.119530397,0.216624081,0.659687687
4,202_1,202,202_2019,2019,74.475,163.125,56.365,113.463,67.3,155.562,0.165275301,0.141308452,0.304428311,0.886144369,0.100639236,0.24323737,0.740749951
5,202_2,202,202_2019,2019,67.82,164.608,50.935,114.081,61.19,157.053,0.172736077,0.141735651,0.307026934,0.894200474,0.101140216,0.248929281,0.67455739
6,202_3,202,202_2019,2019,71.33,162.657,51.05,111.091,62.575,154.662,0.23377732,0.140834508,0.317024807,0.883602051,0.094716116,0.284310886,0.709468868
7,206_1,206,206_2019,2019,64.05,137.52,50.45,96.004,61.59,136.558,0.260083085,0.162804702,0.301890634,0.74705026,0.136519608,0.212334114,0.637059877
8,206_2,206,206_2019,2019,73.01,139.164,54.42,94.846,68.89,138.914,0.284963607,0.165726492,0.318458797,0.755980965,0.129729245,0.254622654,0.726178635
9,206_3,206,206_2019,2019,80.58,127.854,55.79,79.916,74.71,123.414,0.283678724,0.151230061,0.374943295,0.694541622,0.127201829,0.307644577,0.801472051
10,210_1,210,210_2019,2019,79.715,140.515,55.465,91.851,73.34,136.017,0.305593859,0.151262507,0.346326125,0.763320007,0.122801325,0.304207639,0.79286851
11,210_2,210,210_2019,2019,96.22,154.353,66.265,118.904,85.54,151.643,0.081238403,0.153928604,0.229684098,0.83849221,0.107198636,0.311380147,0.957032027
12,210_3,210,210_2019,2019,70.605,159.08,51.125,115.004,64.44,157.633,0.250537552,0.161214656,0.277296174,0.864170705,0.113872791,0.275952871,0.702257808
13,213_1,213,213_2019,2019,94.81,159.148,67.76,111.544,86.705,146.968,0.080329449,0.123993533,0.299268813,0.864540101,0.116729891,0.285295099,0.943007758
14,213_2,213,213_2019,2019,77.56,145.37,51.59,80.745,67.325,127.349,0.197017736,0.120175983,0.444797095,0.789693836,0.100992494,0.334817121,0.771434255
15,213_3,213,213_2019,2019,81.59,145.718,52.08,77.011,67.74,125.479,0.232694423,0.117564903,0.471522643,0.791584277,0.088444682,0.361705783,0.811517804
16,219_1,219,219_2019,2019,84.225,170.846,53.235,109.964,70.745,158.817,0.148792111,0.133759299,0.356573443,0.928087178,0.094169412,0.367950056,0.837726279
17,219_2,219,219_2019,2019,71.455,183.37,54.91,152.775,64.14,179.945,0.068137512,0.148021755,0.166865949,0.996121336,0.092848311,0.231543415,0.710712155
18,219_3,219,219_2019,2019,80.25,178.72,55.18,138.167,69.885,175.878,0.105477382,0.154986757,0.226910773,0.970861129,0.097721072,0.312288588,0.798189775
19,220_1,220,220_2019,2019,84.31,160.238,55.885,102.424,73.155,149.539,0.189983881,0.135807994,0.360848679,0.870461312,0.101247741,0.337166275,0.838571713
20,220_2,220,220_2019,2019,80.88,163.069,57.45,109.924,72.28,154.52,0.203061815,0.139856387,0.325907289,0.88584016,0.105489507,0.289687539,0.804455938
21,220_3,220,220_2019,2019,86.79,155.1,51.2,88.91,71.5,140.045,0.185529458,0.12877796,0.426786416,0.84255014,0.095050217,0.409958764,0.863238512
22,223_1,223,223_2019,2019,83.5,112.146,55.495,65.811,77.37,103.745,0.664096107,0.136455302,0.413136079,0.609211013,0.130186915,0.33538877,0.830515218
23,223_2,223,223_2019,2019,77.555,120.988,55.555,72.827,73.055,113.34,0.496089206,0.140205462,0.398436216,0.657243432,0.132575094,0.283801875,0.771384524
24,223_3,223,223_2019,2019,75.67,150.334,55.155,95.599,67.55,141.972,0.293021342,0.141199585,0.364087334,0.816659786,0.100536534,0.270838191,0.752635767
25,238_1,238,238_2019,2019,65.81,153.055,50.97,97.589,61.005,146.418,0.250500557,0.146720811,0.362612802,0.831441081,0.11269433,0.225565884,0.654565347
26,238_2,238,238_2019,2019,71.16,150.019,53.66,90.588,65.745,141.93,0.325270376,0.144006306,0.396143413,0.814948611,0.114995717,0.245808694,0.707777999
27,238_3,238,238_2019,2019,63.44,153.789,46.37,90.883,56.085,142.615,0.244044953,0.137052404,0.408994883,0.835428391,0.094866442,0.269220457,0.63099264
28,245_1,245,245_2019,2019,90.945,127.073,56.765,67.023,77.925,107.734,0.364140513,0.113006684,0.472558495,0.690298994,0.103181778,0.375837886,0.904565347
29,245_2,245,245_2019,2019,77.22,138.318,49.855,75.422,66.38,120.976,0.268433417,0.12065878,0.454573651,0.751385237,0.100643613,0.35449036,0.768052517
30,245_3,245,245_2019,2019,80.695,128.544,53.59,65.997,68.605,107.022,0.337794121,0.109336732,0.486502907,0.698289911,0.092330283,0.335943659,0.802615875
31,255_1,255,255_2019,2019,91.47,158.187,61.97,114.443,81.76,153.235,0.103777247,0.147836258,0.276509288,0.859319659,0.111802652,0.322515219,0.90978715
32,255_2,255,255_2019,2019,82.83,148.433,56.1,87.89,70.985,132.073,0.212911014,0.121653434,0.407963485,0.806332979,0.092812554,0.322729548,0.823851204
33,257_1,257,257_2019,2019,84.07,167.642,62.615,121.946,75.1,160.875,0.13108293,0.142028727,0.272631713,0.91068208,0.096984075,0.25502914,0.836184603
34,257_2,257,257_2019,2019,87.82,145.663,56.13,83.645,74.34,127.425,0.223872425,0.117657101,0.425867353,0.7912855,0.095798414,0.360912268,0.873483191
35,267_1,267,267_2019,2019,63.465,158.09,52.145,108.814,59.87,150.983,0.284595439,0.142617224,0.311656083,0.858792725,0.113758042,0.178720159,0.631241297
36,267_2,267,267_2019,2019,66.89,146.177,53.67,85.549,62.545,133.314,0.32332428,0.131301601,0.414766096,0.794077704,0.112087295,0.197725981,0.66530734
37,272_1,272,272_2019,2019,100.435,173.221,73.98,122.155,87.675,162.372,0.025069051,0.131255678,0.294972881,0.940988896,0.086194385,0.263391624,0.99895564
38,272_2,272,272_2019,2019,93.21,148.195,64.675,90.24,80.775,131.706,0.17963709,0.119231057,0.391012344,0.80504009,0.094034809,0.306147274,0.927093694
39,304_1,304,304_2019,2019,75.9,148.974,58.66,90.476,67.295,127.911,0.278023965,0.106646268,0.392654446,0.809271854,0.083283321,0.227156537,0.754923414
40,304_2,304,304_2019,2019,67.785,153.127,49.41,86.526,58.335,129.629,0.395295384,0.107870322,0.434882342,0.831832207,0.080939644,0.271102626,0.67420927
41,307_1,307,307_2019,2019,71.39,132.694,57.73,97.88,69.495,134.998,0.452272766,0.177026444,0.274929421,0.733349993,0.143523703,0.19189706,0.710065646
42,307_2,307,307_2019,2019,68.345,124.007,51.135,75.606,64.095,117.422,0.451265234,0.143911468,0.390398302,0.673643554,0.125514584,0.251809732,0.679779192
43,307_3,307,307_2019,2019,80.575,135.076,53.48,80.503,70.325,122.975,0.461664153,0.129611724,0.403823794,0.733773712,0.103620377,0.336276724,0.80142232
44,363_1,363,363_2019,2019,82.29,161.582,65.36,118.919,77.23,160.558,0.157592066,0.1626743,0.264063297,0.877762326,0.116851034,0.20588613,0.818480207
45,363_2,363,363_2019,2019,85.01,150.206,55.065,96.804,74.925,143.28,0.2052312,0.145081504,0.355516752,0.815964451,0.110593859,0.352230852,0.845534116
46,389_1,389,389_2019,2019,76.86,140.608,52.46,72.209,66.285,119,0.32129737,0.114003649,0.48642257,0.763825211,0.094434014,0.317629847,0.764471852
47,389_2,389,389_2019,2019,69.645,162.347,52.89,101.574,62.25,150.691,0.22121811,0.134704006,0.3743437,0.881918038,0.093002851,0.240286269,0.69270937
48,389_3,389,389_2019,2019,85.415,149.243,49.955,79.304,67.53,128.771,0.250275485,0.117899363,0.468659377,0.810733144,0.082578106,0.415224781,0.849562364
49,410_1,410,410_2019,2019,68.245,157.725,52.065,121.19,63.04,159.767,0.245422926,0.175481282,0.241478142,0.867902697,0.113062775,0.23707161,0.678784563
50,410_2,410,410_2019,2019,69.68,158.56,53.36,127.277,65.75,165.474,0.201169014,0.196716931,0.230702858,0.898904848,0.126598565,0.234244655,0.69305749
51,410_3,410,410_2019,2019,75.26,153.283,51.005,112.982,68.82,158.198,0.261324182,0.184813549,0.285844638,0.859379414,0.12233373,0.32199486,0.748557788
52,419_1,419,419_2019,2019,74.41,118.429,46.555,58.368,63.405,97.643,0.488375124,0.109003557,0.507592416,0.64334217,0.100756155,0.374108279,0.740103442
53,419_2,419,419_2019,2019,68.39,142.18,49.395,75.342,61.29,123.044,0.369424022,0.118954878,0.470054261,0.77236479,0.104422788,0.277590321,0.680226776
54,419_3,419,419_2019,2019,64.095,153.542,48.64,85.742,57.425,136.824,0.464635766,0.125565986,0.441697795,0.834086613,0.094733974,0.241175447,0.63750746
55,451_1,451,451_2019,2019,78.76,159.853,59.42,100.716,72.095,149.434,0.211132398,0.137308959,0.370038277,0.868369875,0.109208885,0.245488324,0.783369803
56,451_2,451,451_2019,2019,72.255,158.385,53.97,97.027,65.595,146.466,0.288057578,0.134293935,0.387399234,0.860395254,0.105998998,0.25314011,0.718669187
57,451_3,451,451_2019,2019,79.87,158.661,58.18,107.083,71.165,148.747,0.208750845,0.134630462,0.325139011,0.86189457,0.09978513,0.2715917,0.794410185
58,483_1,483,483_2019,2019,63.98,138.791,50.24,77.62,59.055,122.274,0.314148854,0.12155135,0.440235598,0.753954716,0.106948524,0.214728627,0.636363637
59,483_2,483,483_2019,2019,68.105,158.605,56.2,107.37,63.81,149.317,0.231037852,0.136452607,0.32304675,0.861590361,0.106622198,0.174843921,0.677392083
60,485_1,485,485_2019,2019,76.31,139.422,55.415,80.751,68.845,126.249,0.29229091,0.129247365,0.420845738,0.7573825,0.107090446,0.273662678,0.759001393
61,485_2,485,485_2019,2019,80.74,147.842,55.47,93.575,71.725,136.711,0.234507087,0.132490429,0.36705284,0.803122488,0.107214393,0.312971796,0.803063458
62,516_1,516,516_2019,2019,73.97,154.359,58.005,113.668,68.13,152.036,0.166278647,0.157327761,0.26363407,0.838524804,0.10558644,0.215758083,0.735727074
63,516_2,516,516_2019,2019,85.305,160.25,65.84,125.959,77.48,160.629,0.187535091,0.168562483,0.216084191,0.87291128,0.099668528,0.228189836,0.848468271
64,528_2,528,528_2019,2019,71.035,131.985,50.3,68.009,63.355,113.128,0.422970032,0.117537809,0.48472001,0.716982465,0.104938016,0.291939841,0.706534713
65,528_3,528,528_2019,2019,70.675,148.13,50.495,88.272,63.135,135.717,0.274501998,0.132104499,0.404146208,0.804686991,0.104418328,0.285555651,0.702954049
66,560_1,560,560_2019,2019,78.545,139.961,63.2,98.322,74.55,133.487,0.249711325,0.140783414,0.29749973,0.760310511,0.12329658,0.195418884,0.781231351
67,560_2,560,560_2019,2019,76.325,131.793,57.1,92.339,71.48,127.123,0.319262714,0.146863445,0.299381158,0.715939463,0.12465791,0.251873124,0.759150587
68,597_1,597,597_2019,2019,67.465,168.806,54.68,116.105,62.965,157.683,0.217089106,0.131420117,0.312964032,0.91700528,0.107995365,0.189516746,0.671026458
69,597_2,597,597_2019,2019,72.44,163.208,52.325,106.447,64.425,150.791,0.197052795,0.13019517,0.347821378,0.88659525,0.100299946,0.277630772,0.72050925
70,598_1,598,598_2019,2019,75.065,163.305,56.955,102.481,67.255,147.418,0.18756693,0.123134619,0.372466403,0.887122184,0.094827554,0.241260798,0.746618262
71,598_2,598,598_2019,2019,82.44,157.49,60.585,92.268,72.005,139.241,0.223663874,0.120063208,0.414020185,0.855533344,0.087174251,0.265210122,0.819972151
72,206_1,206,206_2017,2017,79.985,147.878,56.31,80.884,71.18,129.061,0.259405508,0.119851888,0.453101678,0.74765911,0.10469966,0.296031452,0.780722304
73,206_2,206,206_2017,2017,72.535,154.367,56.085,106.18,66.93,148.948,0.323077958,0.147923643,0.312160042,0.780466965,0.109872306,0.226795947,0.708003905
74,214_1,214,214_2017,2017,76.6,148.286,61.02,99.791,73.235,147.335,0.305230366,0.163430952,0.327003811,0.749721925,0.130652665,0.203381896,0.747681796
75,214_2,214,214_2017,2017,78.715,155.331,61.685,116.32,74.1875,158.991,0.292826801,0.180366499,0.268368977,0.803845532,0.122855499,0.216128091,0.768326013
76,215_1,215,215_2017,2017,69.725,159.687,55.1575,97.7825,65.6125,149.454,0.374802601,0.13912783,0.387639938,0.807364451,0.119668495,0.209024325,0.680575891
77,215_2,215,215_2017,2017,76.82,168.882,61.725,124.639,71.97,163.825,0.149435642,0.147604947,0.261947496,0.853853621,0.113210317,0.196326817,0.749829185
78,215_3,215,215_2017,2017,69.4,153.501,50.995,89.948,63.01,141.625,0.262067893,0.135523796,0.414199473,0.77608854,0.108803605,0.265183022,0.677403612
79,249_1,249,249_2017,2017,81.98,161.303,63.755,104.409,75.87,154.145,0.160415282,0.145699337,0.3527713,0.815534815,0.110762051,0.222298484,0.800195217
80,249_2,249,249_2017,2017,78.48,167.589,60.6,108.348,71.025,157.825,0.095339756,0.139192889,0.353470045,0.847316319,0.097177803,0.227596916,0.766032211
81,249_3,249,249_2017,2017,65.515,160.639,50.64,101.904,60.305,155.598,0.207088879,0.152365914,0.365652421,0.812177686,0.108274584,0.226801098,0.639482675
82,254_1,254,254_2017,2017,75.115,163.149,62.64,106.516,71.965,156.244,0.227073944,0.146349054,0.347135401,0.824868041,0.1245209,0.165860685,0.733186921
83,254_2,254,254_2017,2017,79.14,142.856,54.11,76.408,70.51,125.168,0.39180372,0.122301148,0.465139721,0.722268287,0.109202291,0.316274956,0.772474378
84,254_3,254,254_2017,2017,65.43333333,153.284,49.72666667,87.34733333,60.61333333,140.94,0.283793391,0.135474347,0.430096722,0.774991405,0.115573136,0.24006044,0.638685538
85,275_1,275,275_2017,2017,78.425,120.178,55.89,70.116,74.57,112.769,0.571127947,0.141999893,0.416662459,0.607610168,0.138135669,0.287365109,0.765495364
86,275_3,275,275_2017,2017,73.82666667,153.5633333,52.42333333,88.724,64.68333333,139.964,0.317493649,0.131717104,0.422343342,0.776403691,0.095254506,0.290468417,0.72061168
87,288_1,288,288_2017,2017,75.83,156.754,61.28,105.422,71.64,147.904,0.205951205,0.137932154,0.327468518,0.792535442,0.118671249,0.191876566,0.740165935
88,339_1,339,339_2017,2017,68.34,136.15,56.22,99.428,66.45,140.184,0.426598947,0.183163215,0.290732181,0.708758873,0.140676568,0.177348551,0.667057101
89,339_2,339,339_2017,2017,66.82,147.153,56.12,107.804,65.02,152.472,0.331869735,0.186518439,0.292981308,0.770885999,0.13859218,0.160109013,0.652220596
90,339_3,339,339_2017,2017,65.97,155.161,53.395,119.129,61.835,158.313,0.337589947,0.180095684,0.24755483,0.800417619,0.111972332,0.190353548,0.643923865
91,355_1,355,355_2017,2017,74.18,161.287,58.19,114.872,69.6,159.077,0.169656466,0.158732867,0.287770069,0.815453921,0.118914765,0.215578354,0.724060518
92,355_2,355,355_2017,2017,73.36666667,147.3293333,51.65333333,92.51133333,66.98333333,141.512,0.250620532,0.149028638,0.37265431,0.744885096,0.117611406,0.295823174,0.716121686
93,355_3,355,355_2017,2017,81.302,155.0164,59.808,99.8936,73.972,148.6952,0.185758176,0.147625125,0.355739718,0.783750278,0.110103352,0.265744066,0.793577355
94,363_1,363,363_2017,2017,85.595,171.305,66.58,117.761,79.42,163.866,0.114522253,0.143510347,0.312566378,0.866104112,0.112674726,0.221666058,0.835480723
95,363_2,363,363_2017,2017,93.35,161.754,66.59666667,109.828,84.36333333,152.6566667,0.078095978,0.137464273,0.321353881,0.817815034,0.110638351,0.286643743,0.911176184
96,415_1,415,415_2017,2017,78.3775,162.629,60.765,128.0385,72.695,165.924,0.194830389,0.181093545,0.228272463,0.838898215,0.112907604,0.224797688,0.765031723
97,415_2,415,415_2017,2017,74.525,156.949,62.86,115.354,72.065,155.293,0.270831853,0.160025168,0.26507832,0.793521346,0.131719732,0.15648483,0.727428014
98,415_3,415,415_2017,2017,60.685,160.76,51.815,129.272,59.135,165.381,0.333616774,0.18797547,0.218306433,0.836152851,0.137558551,0.146358987,0.592337726
99,426_1,426,426_2017,2017,75.63,152.99,56.635,79.513,68.04,130.827,0.248628559,0.116396642,0.480281662,0.773504965,0.100153568,0.250854868,0.738213763
100,466_1,466,466_2017,2017,70.1,173.956,56.84,109.835,64.43,159.423,0.206298634,0.128923051,0.368592977,0.879507352,0.09532701,0.189033252,0.684236213
101,466_3,466,466_2017,2017,70.15,176.5028,54.948,124.8424,63.208,170.8472,0.193043732,0.148460212,0.292891337,0.892383764,0.090444158,0.216453919,0.684724256
102,511_1,511,511_2017,2017,78.275,161.44,58.11,118.683,71.57,158.549,0.159255134,0.155406562,0.264916005,0.816227476,0.111251044,0.257841133,0.764031235
103,511_2,511,511_2017,2017,88.47,155.371,61.305,97.425,78.26,144.56,0.156875024,0.135572696,0.37300382,0.785543107,0.104008604,0.307164727,0.863543192
104,511_3,511,511_2017,2017,69.91,166.22,52.265,116.457,62.395,158.311,0.137887441,0.14015445,0.299379316,0.840394766,0.09560863,0.252389442,0.68238165
105,513_1,513,513_2017,2017,80.89,139.506,55.815,78.872,74.865,127.4,0.368032076,0.133386773,0.434617639,0.705330961,0.126624612,0.309986952,0.789555881
106,513_3,513,513_2017,2017,89.1375,158.1165,61.475,102.3445,80.2475,151.3285,0.185855349,0.146351097,0.352814087,0.799424131,0.11310109,0.310589111,0.870058565
107,541_1,541,541_2017,2017,75.5875,153.6085,59.7125,91.07,71.255,141.377,0.292554017,0.134108445,0.407219292,0.776632051,0.121129926,0.210033298,0.737798927
108,541_2,541,541_2017,2017,72.805,157.22,58.26,93.826,67.785,142.698,0.298587273,0.12849262,0.403204807,0.7948915,0.109146073,0.199780796,0.710639336
109,559_1,559,559_2017,2017,79.94,159.652,65.2,105.788,76.315,153.457,0.23929432,0.147507202,0.337419363,0.807187494,0.125691885,0.184383105,0.780283065
110,567_2,567,567_2017,2017,74.52,156.736,56.48,85.656,66.005,133.662,0.308960451,0.112567475,0.453497251,0.792444436,0.087966029,0.242037086,0.72737921
111,567_3,567,567_2017,2017,77.70666667,168.98,51.7,102.8903333,63.43333333,150.028,0.224900621,0.118874355,0.391183227,0.854349101,0.075096241,0.334649458,0.758483813
112,2072_1,2072,2072_2017,2017,72.98333333,135.1446667,50.90333333,76.246,66.83666667,127.316,0.391027238,0.144534077,0.435830352,0.683280415,0.120280784,0.302506284,0.712380023
113,2072_2,2072,2072_2017,2017,72.115,158.887,54.215,115.152,67.13,158.898,0.140219797,0.166682049,0.276234967,0.804411795,0.12034282,0.246530639,0.703904344
114,201_1,201,201_2018,2018,76.87,172.922,59.395,117.697,69.61,163.123,0.207555014,0.137094818,0.319390708,0.874279532,0.097527223,0.227652108,0.750317228
115,201_2,201,201_2018,2018,72.58,160.918,53.995,102.089,65.38,150.468,0.24978357,0.137059181,0.365593606,0.813588287,0.102120235,0.256004838,0.708443143
116,207_1,207,207_2018,2018,94.555,153.735,65.735,103.943,85.81,146.769,0.129606628,0.14335082,0.323883164,0.777271624,0.116099588,0.304728919,0.922938019
117,207_2,207,207_2018,2018,90.94,135.375,62.845,92.482,85.36,135.25,0.373350562,0.166269165,0.318083933,0.685749388,0.13400556,0.309275971,0.887652514
